[s],CH1[V]
-1.5798E-02,2.355E-02
-1.5796E-02,2.355E-02
-1.5794E-02,2.355E-02
-1.5792E-02,2.395E-02
-1.5790E-02,2.355E-02
-1.5788E-02,2.355E-02
-1.5786E-02,2.355E-02
-1.5784E-02,2.355E-02
-1.5782E-02,2.395E-02
-1.5780E-02,2.395E-02
-1.5778E-02,2.355E-02
-1.5776E-02,2.355E-02
-1.5774E-02,2.355E-02
-1.5772E-02,2.355E-02
-1.5770E-02,2.395E-02
-1.5768E-02,2.355E-02
-1.5766E-02,2.355E-02
-1.5764E-02,2.395E-02
-1.5762E-02,2.355E-02
-1.5760E-02,2.355E-02
-1.5758E-02,2.395E-02
-1.5756E-02,2.355E-02
-1.5754E-02,2.355E-02
-1.5752E-02,2.395E-02
-1.5750E-02,2.355E-02
-1.5748E-02,2.355E-02
-1.5746E-02,2.355E-02
-1.5744E-02,2.395E-02
-1.5742E-02,2.355E-02
-1.5740E-02,2.355E-02
-1.5738E-02,2.355E-02
-1.5736E-02,2.395E-02
-1.5734E-02,2.395E-02
-1.5732E-02,2.355E-02
-1.5730E-02,2.355E-02
-1.5728E-02,2.355E-02
-1.5726E-02,2.355E-02
-1.5724E-02,2.355E-02
-1.5722E-02,2.355E-02
-1.5720E-02,2.395E-02
-1.5718E-02,2.355E-02
-1.5716E-02,2.355E-02
-1.5714E-02,2.355E-02
-1.5712E-02,2.395E-02
-1.5710E-02,2.395E-02
-1.5708E-02,2.355E-02
-1.5706E-02,2.355E-02
-1.5704E-02,2.355E-02
-1.5702E-02,2.355E-02
-1.5700E-02,2.355E-02
-1.5698E-02,2.355E-02
-1.5696E-02,2.395E-02
-1.5694E-02,2.355E-02
-1.5692E-02,2.395E-02
-1.5690E-02,2.395E-02
-1.5688E-02,2.355E-02
-1.5686E-02,2.355E-02
-1.5684E-02,2.355E-02
-1.5682E-02,2.355E-02
-1.5680E-02,2.355E-02
-1.5678E-02,2.355E-02
-1.5676E-02,2.355E-02
-1.5674E-02,2.395E-02
-1.5672E-02,2.355E-02
-1.5670E-02,2.355E-02
-1.5668E-02,2.355E-02
-1.5666E-02,2.395E-02
-1.5664E-02,2.395E-02
-1.5662E-02,2.355E-02
-1.5660E-02,2.355E-02
-1.5658E-02,2.395E-02
-1.5656E-02,2.395E-02
-1.5654E-02,2.355E-02
-1.5652E-02,2.355E-02
-1.5650E-02,2.355E-02
-1.5648E-02,2.395E-02
-1.5646E-02,2.355E-02
-1.5644E-02,2.355E-02
-1.5642E-02,2.395E-02
-1.5640E-02,2.395E-02
-1.5638E-02,2.395E-02
-1.5636E-02,2.355E-02
-1.5634E-02,2.355E-02
-1.5632E-02,2.355E-02
-1.5630E-02,2.355E-02
-1.5628E-02,2.355E-02
-1.5626E-02,2.315E-02
-1.5624E-02,2.355E-02
-1.5622E-02,2.355E-02
-1.5620E-02,2.395E-02
-1.5618E-02,2.355E-02
-1.5616E-02,2.355E-02
-1.5614E-02,2.355E-02
-1.5612E-02,2.355E-02
-1.5610E-02,2.355E-02
-1.5608E-02,2.355E-02
-1.5606E-02,2.355E-02
-1.5604E-02,2.355E-02
-1.5602E-02,2.355E-02
-1.5600E-02,2.355E-02
-1.5598E-02,2.315E-02
-1.5596E-02,2.355E-02
-1.5594E-02,2.355E-02
-1.5592E-02,2.315E-02
-1.5590E-02,2.355E-02
-1.5588E-02,2.355E-02
-1.5586E-02,2.355E-02
-1.5584E-02,2.355E-02
-1.5582E-02,2.355E-02
-1.5580E-02,2.355E-02
-1.5578E-02,2.355E-02
-1.5576E-02,2.355E-02
-1.5574E-02,2.355E-02
-1.5572E-02,2.355E-02
-1.5570E-02,2.355E-02
-1.5568E-02,2.355E-02
-1.5566E-02,2.355E-02
-1.5564E-02,2.355E-02
-1.5562E-02,2.315E-02
-1.5560E-02,2.355E-02
-1.5558E-02,2.355E-02
-1.5556E-02,2.355E-02
-1.5554E-02,2.355E-02
-1.5552E-02,2.395E-02
-1.5550E-02,2.355E-02
-1.5548E-02,2.355E-02
-1.5546E-02,2.355E-02
-1.5544E-02,2.355E-02
-1.5542E-02,2.355E-02
-1.5540E-02,2.355E-02
-1.5538E-02,2.315E-02
-1.5536E-02,2.355E-02
-1.5534E-02,2.355E-02
-1.5532E-02,2.355E-02
-1.5530E-02,2.355E-02
-1.5528E-02,2.315E-02
-1.5526E-02,2.355E-02
-1.5524E-02,2.395E-02
-1.5522E-02,2.395E-02
-1.5520E-02,2.355E-02
-1.5518E-02,2.355E-02
-1.5516E-02,2.355E-02
-1.5514E-02,2.395E-02
-1.5512E-02,2.355E-02
-1.5510E-02,2.315E-02
-1.5508E-02,2.355E-02
-1.5506E-02,2.355E-02
-1.5504E-02,2.355E-02
-1.5502E-02,2.355E-02
-1.5500E-02,2.315E-02
-1.5498E-02,2.355E-02
-1.5496E-02,2.355E-02
-1.5494E-02,2.355E-02
-1.5492E-02,2.355E-02
-1.5490E-02,2.355E-02
-1.5488E-02,2.355E-02
-1.5486E-02,2.355E-02
-1.5484E-02,2.355E-02
-1.5482E-02,2.355E-02
-1.5480E-02,2.355E-02
-1.5478E-02,2.395E-02
-1.5476E-02,2.355E-02
-1.5474E-02,2.355E-02
-1.5472E-02,2.355E-02
-1.5470E-02,2.395E-02
-1.5468E-02,2.355E-02
-1.5466E-02,2.355E-02
-1.5464E-02,2.355E-02
-1.5462E-02,2.355E-02
-1.5460E-02,2.355E-02
-1.5458E-02,2.395E-02
-1.5456E-02,2.355E-02
-1.5454E-02,2.355E-02
-1.5452E-02,2.355E-02
-1.5450E-02,2.355E-02
-1.5448E-02,2.395E-02
-1.5446E-02,2.355E-02
-1.5444E-02,2.395E-02
-1.5442E-02,2.355E-02
-1.5440E-02,2.355E-02
-1.5438E-02,2.395E-02
-1.5436E-02,2.355E-02
-1.5434E-02,2.355E-02
-1.5432E-02,2.315E-02
-1.5430E-02,2.355E-02
-1.5428E-02,2.355E-02
-1.5426E-02,2.395E-02
-1.5424E-02,2.355E-02
-1.5422E-02,2.355E-02
-1.5420E-02,2.355E-02
-1.5418E-02,2.395E-02
-1.5416E-02,2.355E-02
-1.5414E-02,2.355E-02
-1.5412E-02,2.355E-02
-1.5410E-02,2.355E-02
-1.5408E-02,2.395E-02
-1.5406E-02,2.355E-02
-1.5404E-02,2.395E-02
-1.5402E-02,2.355E-02
-1.5400E-02,2.355E-02
-1.5398E-02,2.395E-02
-1.5396E-02,2.355E-02
-1.5394E-02,2.395E-02
-1.5392E-02,2.355E-02
-1.5390E-02,2.355E-02
-1.5388E-02,2.395E-02
-1.5386E-02,2.355E-02
-1.5384E-02,2.355E-02
-1.5382E-02,2.395E-02
-1.5380E-02,2.355E-02
-1.5378E-02,2.355E-02
-1.5376E-02,2.395E-02
-1.5374E-02,2.355E-02
-1.5372E-02,2.355E-02
-1.5370E-02,2.395E-02
-1.5368E-02,2.355E-02
-1.5366E-02,2.395E-02
-1.5364E-02,2.395E-02
-1.5362E-02,2.355E-02
-1.5360E-02,2.395E-02
-1.5358E-02,2.395E-02
-1.5356E-02,2.355E-02
-1.5354E-02,2.355E-02
-1.5352E-02,2.355E-02
-1.5350E-02,2.355E-02
-1.5348E-02,2.395E-02
-1.5346E-02,2.395E-02
-1.5344E-02,2.395E-02
-1.5342E-02,2.355E-02
-1.5340E-02,2.355E-02
-1.5338E-02,2.355E-02
-1.5336E-02,2.355E-02
-1.5334E-02,2.355E-02
-1.5332E-02,2.395E-02
-1.5330E-02,2.355E-02
-1.5328E-02,2.315E-02
-1.5326E-02,2.355E-02
-1.5324E-02,2.395E-02
-1.5322E-02,2.355E-02
-1.5320E-02,2.355E-02
-1.5318E-02,2.355E-02
-1.5316E-02,2.395E-02
-1.5314E-02,2.355E-02
-1.5312E-02,2.355E-02
-1.5310E-02,2.355E-02
-1.5308E-02,2.355E-02
-1.5306E-02,2.395E-02
-1.5304E-02,2.355E-02
-1.5302E-02,2.355E-02
-1.5300E-02,2.395E-02
-1.5298E-02,2.355E-02
-1.5296E-02,2.355E-02
-1.5294E-02,2.355E-02
-1.5292E-02,2.355E-02
-1.5290E-02,2.355E-02
-1.5288E-02,2.355E-02
-1.5286E-02,2.355E-02
-1.5284E-02,2.355E-02
-1.5282E-02,2.395E-02
-1.5280E-02,2.355E-02
-1.5278E-02,2.355E-02
-1.5276E-02,2.395E-02
-1.5274E-02,2.355E-02
-1.5272E-02,2.355E-02
-1.5270E-02,2.395E-02
-1.5268E-02,2.355E-02
-1.5266E-02,2.355E-02
-1.5264E-02,2.355E-02
-1.5262E-02,2.395E-02
-1.5260E-02,2.355E-02
-1.5258E-02,2.355E-02
-1.5256E-02,2.395E-02
-1.5254E-02,2.315E-02
-1.5252E-02,2.355E-02
-1.5250E-02,2.355E-02
-1.5248E-02,2.315E-02
-1.5246E-02,2.355E-02
-1.5244E-02,2.355E-02
-1.5242E-02,2.395E-02
-1.5240E-02,2.355E-02
-1.5238E-02,2.355E-02
-1.5236E-02,2.355E-02
-1.5234E-02,2.395E-02
-1.5232E-02,2.355E-02
-1.5230E-02,2.355E-02
-1.5228E-02,2.395E-02
